"source","job_id","title","company","location","job_url","modality","seniority","is_remote","salary","post_date","tags","description_snippet","fetched_at"
"LinkedIn","4388574700","Data Scientist – Scoring Center (M/F)","BNP Paribas Personal Finance","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/data-scientist-%E2%80%93-scoring-center-m-f-at-bnp-paribas-personal-finance-4388574700","On-site / Hybrid","Entry-Level / Early Career",False,"","2 weeks ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4388559292","Mid Data Scientist","bridge351","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/mid-data-scientist-at-bridge351-4388559292","On-site / Hybrid","Entry-Level / Early Career",False,"","5 months ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4446360484","Product Owner & Data Scientist","Volkswagen Group Digital Solutions [Portugal]","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/product-owner-data-scientist-at-volkswagen-group-digital-solutions-portugal-4446360484","On-site / Hybrid","Entry-Level / Early Career",False,"","2 weeks ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4444557421","MACHINE LEARNING ENGINEER | DIR INTELIG ARTIFICIAL-CENT EXCELENCIA (CEIA)","Banco BPI","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/machine-learning-engineer-dir-intelig-artificial-cent-excelencia-ceia-at-banco-bpi-4444557421","On-site / Hybrid","Entry-Level / Early Career",False,"","2 weeks ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4437575428","Experienced AI/ML Engineer (f/m/d)","Siemens Energy","Lisboa, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/experienced-ai-ml-engineer-f-m-d-at-siemens-energy-4437575428","On-site / Hybrid","Entry-Level / Early Career",False,"","2 weeks ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4379891543","Data Scientist AI","Airbus","Lisbon, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/data-scientist-ai-at-airbus-4379891543","On-site / Hybrid","Entry-Level / Early Career",False,"","2 weeks ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4438363176","Data Science Analyst GenAI","Metyis","Porto, Porto, Portugal","https://pt.linkedin.com/jobs/view/data-science-analyst-genai-at-metyis-4438363176","On-site / Hybrid","Entry-Level / Early Career",False,"","2 weeks ago","[]","","2026-08-18 00:03:33"
"LinkedIn","4389814205","Distributed Cloud | Machine Learning Engineer","Devoteam","Lisbon, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/distributed-cloud-machine-learning-engineer-at-devoteam-4389814205","On-site / Hybrid","Entry-Level / Early Career",False,"","2 weeks ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4372593163","Data Scientist (NLP Deep Learning Engineer)","Revolut","Portugal","https://pt.linkedin.com/jobs/view/data-scientist-nlp-deep-learning-engineer-at-revolut-4372593163","On-site / Hybrid","Entry-Level / Early Career",False,"","1 week ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4442200431","Machine Learning","CodeWin","Portugal","https://pt.linkedin.com/jobs/view/machine-learning-at-codewin-4442200431","On-site / Hybrid","Entry-Level / Early Career",False,"","4 weeks ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4439771959","Associate Data Scientist | Personalized Medicine | Deep Tech Startup","iLoF","Porto, Porto, Portugal","https://pt.linkedin.com/jobs/view/associate-data-scientist-personalized-medicine-deep-tech-startup-at-ilof-4439771959","On-site / Hybrid","Junior / Trainee / Internship",False,"","1 month ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4451784282","Full Stack AI Engineer (Lisbon)","Menhir AI","Lisbon, Lisbon, Portugal","https://pt.linkedin.com/jobs/view/full-stack-ai-engineer-lisbon-at-menhir-ai-4451784282","On-site / Hybrid","Entry-Level / Early Career",False,"","1 day ago","[]","","2026-08-18 00:03:34"
"LinkedIn","4436616082","GenAI Analyst","Automaise","Braga, Portugal","https://pt.linkedin.com/jobs/view/genai-analyst-at-automaise-4436616082","On-site / Hybrid","Entry-Level / Early Career",False,"","2 weeks ago","[]","","2026-08-18 00:03:34"
